Depth(m)	kg/m^3	Kg^m^2	g/cm^3
0.5	310	310	0.31
1.5	345	655	0.345
2.5	370	1025	0.37
3.5	390	1415	0.39
4.5	409	1824	0.409
5.5	427	2251	0.427
6.5	444	2695	0.444
7.5	461	3156	0.461
8.5	477	3633	0.477
9.5	492	4125	0.492
10.5	505	4630	0.505
11.5	516	5146	0.516
12.5	527	5673	0.527
13.5	537	6210	0.537
14.5	546	6756	0.546
15.5	554	7310	0.554
16.5	561	7871	0.561
17.5	567	8438	0.567
18.5	573	9011	0.573
19.5	579	9590	0.579
20.5	585	10175	0.585
21.5	591	10766	0.591
22.5	597	11363	0.597
23.5	603	11966	0.603
24.5	609	12575	0.609
25.5	615	13190	0.615
26.5	621	13811	0.621
27.5	627	14438	0.627
28.5	633	15071	0.633
29.5	638	15709	0.638
30.5	643	16352	0.643
31.5	648	17000	0.648
32.5	653	17653	0.653
33.5	658	18311	0.658
34.5	663	18974	0.663
35.5	668	19642	0.668
36.5	673	20315	0.673
37.5	678	20993	0.678
38.5	683	21676	0.683
39.5	688	22364	0.688
40.5	693	23057	0.693
41.5	697	23754	0.697
42.5	701	24455	0.701
43.5	705	25160	0.705
44.5	709	25869	0.709
45.5	713	26582	0.713
46.5	717	27299	0.717
47.5	721	28020	0.721
48.5	724	28744	0.724
49.5	728	29472	0.728
50.5	732	30204	0.732
51.5	736	30940	0.736
52.5	740	31680	0.74
53.5	744	32424	0.744
54.5	748	33172	0.748
55.5	752	33924	0.752
56.5	756	34680	0.756
57.5	760	35440	0.76
58.5	764	36204	0.764
59.5	768	36972	0.768
60.5	772	37744	0.772
61.5	776	38520	0.776
62.5	780	39300	0.78
63.5	784	40084	0.784
64.5	787.5	40871.5	0.7875
65.5	791	41662.5	0.791
66.5	794.5	42457	0.7945
67.5	798	43255	0.798
68.5	801.5	44056.5	0.8015
69.5	805	44861.5	0.805
70.5	808.5	45670	0.8085
71.5	812	46482	0.812
72.5	815	47297	0.815
73.5	818	48115	0.818
74.5	821	48936	0.821
75.5	824	49760	0.824
76.5	827	50587	0.827
77.5	830	51417	0.83
78.5	833	52250	0.833
79.5	836	53086	0.836
80.5	839	53925	0.839
81.5	842	54767	0.842
82.5	844.5	55611.5	0.8445
83.5	847	56458.5	0.847
84.5	849.5	57308	0.8495
85.5	852	58160	0.852
86.5	854.5	59014.5	0.8545
87.5	857	59871.5	0.857
88.5	859.5	60731	0.8595
89.5	862	61593	0.862
90.5	864.5	62457.5	0.8645
91.5	867	63324.5	0.867
92.5	869	64183.5	0.869
93.5	871	65064.5	0.871
94.5	873	65937.5	0.873
95.5	875	66812.5	0.875
96.5	876.5	67689	0.8765
97.5	878	68567	0.878
98.5	879.5	69446.5	0.8795
99.5	881	70327.5	0.881
105	889	79217.5	0.889
115	896	88177.5	0.896
125	902	97197.5	0.902
135	906	106257.5	0.906
145	909	115347.5	0.909
155	911	124457.5	0.911
165	912	133577.5	0.912
175	913	142707.5	0.913
185	914	151847.5	0.914
195	915	160997.5	0.915
