Depth	Density
94	0.8756
114	0.89189
134	0.9039
154	0.90951
174	0.91242
194	0.9136
214	0.91408
234	0.91424
254	0.91505
274	0.9155
296	0.91601
314	0.91588
334	0.91644
341	0.917
361	0.916226881
361	0.916962709
371	0.917400558
381	0.917058125
397	0.916900232
411	0.917273163
431	0.917272456
451	0.917083261
471	0.917439058
491	0.917589581
511	0.917142756
531	0.917489726
551	0.917914054
571	0.917818927
591	0.91776525
611	0.917879873
631	0.917685709
655	0.91793407
689	0.917908762
699	0.917369373
729.06	0.917609753
739.89	0.917630774
760.88	0.91752166
770	0.917489443
782.89	0.917602094
790	0.917567131
803.98	0.917338434
803.98	0.917692725
818	0.917434599
819.92	0.917484868
834	0.917491938
845	0.917593928
845	0.917632698
850.84	0.917507791
859	0.916662497
859	0.917238935
881.89	0.917486688
893.24	0.917012626
905	0.917626119
915.17	0.91758136
932.5	0.917493752
937.97	0.917685598
950	0.917581305
970.31	0.917508054
970	0.916588187
995	0.917026516
1011	0.917339106
1035	0.91802774
1055	0.916909241
1070	0.917598304
1098	0.918160792
1121	0.917814777
1142	0.917947193
1161	0.918675672
1183	0.918307769
1200	0.918093246
1222	0.917085708
1240	0.918733036
1252	0.918240427
1287	0.918549853
1330	0.918318079
1341	0.918449409
1351	0.918129916
1361	0.916158523
1361	0.918296456
1371	0.91473498
1383	0.918348938
1391	0.918570441
1401	0.918521537
1411	0.918268219
1421	0.918013477
1431	0.918176398
1441	0.918294891
1441	0.917232014
1461	0.918632708
1461	0.918350522
1471	0.917091702
1471	0.918805175
1481	0.917993095
1481	0.918879615
1491	0.91827123
1501	0.918372798
1501	0.918917934
1511	0.91949447
1521	0.919305802
1531	0.919308664
1531	0.919080342
1541	0.919435694
1541	0.919191379
1551	0.919118131
1551	0.919188355
1561	0.919489242
1571	0.919414712
1581	0.919246899
1591	0.919140027
1601	0.919149199
1611	0.919148147
1621	0.918512045
1661	0.919100884
1671	0.919162877
1681	0.919072159
1691	0.919169187
1701	0.919080162
1711	0.91928918
1721	0.919240751
1731	0.919214048
1741	0.919898175
1751	0.919923524
1761	0.918964226
1771	0.919192687
1781	0.919290642
1791	0.919096403
1851	0.919065443
1861	0.919047212
1871	0.919090215
1881	0.919059867
1891	0.919058416
1901	0.919035963
1911	0.919129507
1921	0.919110039
1931	0.918993898
1941	0.919067707
1951	0.918981972
1961	0.919102019
1971	0.919004935
1981	0.919005692
1991	0.919060296
2001	0.919008171
2011	0.918949995
2021	0.918933934
2031	0.919019481
2041	0.918919686
2051	0.918869302
2061	0.919007706
2071	0.918948933
2081	0.920235047
2091	0.919047628
2101	0.919072893
2111	0.918912533
2121	0.918895883
2131	0.918987817
2141	0.91897452
2151	0.91905403
2161	0.918785233
2171	0.918920455
2181	0.91863078
2211	0.918547736
2221	0.918848162
2231	0.918870981
2241	0.918610643
2251	0.91895034
2262.01	0.919499
2271.01	0.919676
2281.01	0.919498
2291	0.919438
2303.01	0.91928
2311	0.91965
2321.01	0.919706
2333	0.919459
2341.01	0.919576
2351	0.919458
2361.01	0.919356
2371.01	0.917664
2371.01	0.919476
2381.01	0.919458
2389	0.919344
2401	0.919952
2411	0.919576
2421.01	0.919379
2431	0.919505
2441.01	0.919524
2451	0.919499
2461.01	0.919466
2471	0.919534
2480.96	0.919609
2491	0.919278
2501.01	0.919439
2511	0.919418
2521.01	0.919342
2531	0.919325
2538.97	0.919385
2551	0.919372
2561.01	0.919324
2571	0.919375
2581.01	0.919336
2591.01	0.919338
2601.01	0.91923
2611	0.919315
2621.01	0.919296
2631	0.919457
2641.01	0.91914
2651	0.919115
2661.01	0.919217
2671	0.919342
2681	0.919242
2691	0.919347
2701.01	0.919235
2711	0.919412
2721.01	0.919188
2731.02	0.919231
2741.01	0.919133
2751.01	0.919204
2761.01	0.919246
2771	0.919257
2781.01	0.919056
2791	0.9191
2801.01	0.91927
2811	0.919183
2821.01	0.919231
2831	0.919294
2841.01	0.919228
2851	0.919119
2861.01	0.919276
2871.01	0.919234
2881.01	0.919125
2891	0.919215
2901.01	0.919393
2911	0.919299
2921.01	0.919387
2951	0.9189
2961	0.9194
2971	0.9194
2981	0.919
2991	0.9189
3001	0.9188
3011	0.9192
3021	0.919
3031	0.9189
3040.97	0.9239
3053.33	0.9211
